medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
A3C221AD52791CB25DEDAC22CCA72E61,C526E22C239EC2E9E7F4F76117BD5049,CMT,1,N,2013-01-22 19:52:02,2013-01-22 19:59:41,2,458,3.3,-73.99047900000001,40.717907000000004,-73.940933,40.725922,CRD,11.5,1.0,0.5,3.25,0.0,16.25
E161F8E32EBDC99A81792AF72DA9B620,E67831B4F30A88806F48296969F2D023,VTS,1,,2013-01-01 03:56:00,2013-01-01 04:17:00,1,1260,4.87,-74.007271,40.711773,-73.948349,40.708560999999996,CSH,19.0,0.5,0.5,0.0,0.0,20.0
0B20663F2E8BE92D8A59554FF93915B2,1ADE859BAA103A5E3DF8CFB95A7A3444,CMT,1,N,2013-01-08 18:54:13,2013-01-08 18:56:20,3,126,0.5,-73.988457,40.748367,-73.98129300000001,40.75399,CSH,3.5,1.0,0.5,0.0,0.0,5.0
43057FB083859B36F315957709DC6107,618D8AA7B1C19AD6746A207F534A9E6B,VTS,1,,2013-01-18 21:43:00,2013-01-18 21:48:00,2,300,1.08,-73.968254,40.762169,-73.97728000000001,40.749271,CSH,5.5,0.5,0.5,0.0,0.0,6.5
CF7893F3F7AA3F65D6A01D17EBD7AE14,9DEFE659BB6FC2C5DB86F98F0A0160B2,CMT,1,N,2013-01-14 20:24:46,2013-01-14 20:28:46,1,239,0.9,-73.958649,40.780884,-73.972412,40.785721,CSH,5.0,0.5,0.5,0.0,0.0,6.0
D50A311587828AFEF1A0B4BE123A189E,BCA42F28831D592AB0B1362929CE5E12,CMT,1,N,2013-01-07 11:11:48,2013-01-07 11:17:26,1,337,1.1,-73.9869,40.779152,-73.983467,40.767677,CSH,6.5,0.0,0.5,0.0,0.0,7.0
4EE436DEE359348231D40B2EEBAA3C1D,38CA7BAEEA502889C345EE3C7BF2AB4E,CMT,1,N,2013-01-31 05:47:13,2013-01-31 05:49:07,1,113,0.6,-73.94479399999999,40.819061,-73.95034,40.81147,CSH,4.0,0.5,0.5,0.0,0.0,5.0
941CB776A854311E52C05E607C35DF88,355FBEBBC2BE4C69A543F7B2CFF482B3,CMT,1,N,2013-01-14 06:48:50,2013-01-14 07:22:37,1,2026,16.8,-73.986198,40.743481,-73.845421,40.895329,CSH,48.0,0.0,0.5,0.0,0.0,48.5
FA699984A93BA7C213387DD69C247D70,01269F76968E98891C0B18D7BDD92033,VTS,1,,2013-01-23 11:53:00,2013-01-23 12:08:00,1,900,2.05,-73.97850799999999,40.750609999999995,-73.962952,40.772278,CRD,11.5,0.0,0.5,2.3,0.0,14.3
6FE6DFF9A59C0B64BE0CA64EE2699F08,45B659B83E6C5A481ABC4F45143774C3,CMT,1,N,2013-01-15 11:12:06,2013-01-15 11:25:55,1,828,6.2,-73.981422,40.714515999999996,-73.94839499999999,40.784889,CRD,19.5,0.0,0.5,2.0,0.0,22.0
3F13D5C7C5E7E54F4DE7B5BF124AC2E4,A1C995128C916532052A2EFA5CA951D3,CMT,1,N,2013-01-28 00:57:14,2013-01-28 01:06:05,1,531,2.5,-73.9963,40.753559,-73.991837,40.726585,CRD,10.0,0.5,0.5,2.75,0.0,13.75
149298F6D390FA640E80B41ED31199C5,A330D7872E8E69FF7EF9C5BF6540FA34,VTS,1,,2013-01-07 14:52:00,2013-01-07 15:12:00,2,1200,5.9,-73.98243000000001,40.765621,-74.01301600000001,40.702324,CSH,21.5,0.0,0.5,0.0,0.0,22.0
84E9DC93CB4A13FB5F0E0838F4A011CA,BA96DE77FBEEB8B889FC9C9C587E676E,VTS,1,,2013-01-19 23:28:00,2013-01-19 23:39:00,1,660,2.79,-74.005608,40.741015999999995,-73.976822,40.765846,CRD,11.0,0.5,0.5,1.0,0.0,13.0
3F4399B69B0FFC0124853D9DAAAD6797,B37CF59B0C689F17C63C70A9AC148AF4,CMT,1,N,2013-01-17 19:48:18,2013-01-17 20:02:49,2,870,2.5,-73.975342,40.757740000000005,-73.97753900000001,40.78286,CRD,11.5,1.0,0.5,2.6,0.0,15.6
